index,sentence
146,Y veces voces dicen bien sugieren imágenes mira
147,El Jefe observa cómo Alfred mete dos pastillas misteriosas
148,Antes disimulaba piensa/sabe Jefe Alfred pierde tiempo justificando
149,El Jefe agarra libretita Alfred acerca quinqué pone leer interés Él entiende paciencia locuras Alfred imposturas manera hacerse interesante conjurar ángel sabe libretita caja arma novela mejor ... Jefe serio escuches verdad 21 fin advierte Alice
150,Chico escuches une Trilci consejo Alice
151,¡Puñeta
152,Give break
153,Pero Jefe sabe imposturas Alfred ficción
154,O bien Alfred sufre ficciones sufrimiento convierte ficciones realidades
155,Le parece muy curioso Alfred llame pitufos 4 voces pitufos cuenten Gárgamel muerto mientras vivía pitufos odiaron ahora extrañan enanos despreciables nostalgia explotador recuerda pitufos polacos Profesor O morir siempre hablaba
156,Reconstruyen historia O juntos cada provee datos clave historia pitufos polacos pedazos desordenados historia píxeles
157,Recuerdan historia empieza 80 Polonia enfrentarse régimen comunista polaco requería valor ingenio
158,De contrario daba huesos cárcel toda vida peor Y tras varios intentos logran cuatros amigos recordar nombre grupo pitufos Pomaranczowa Alternatywa Alternativa Naranja medio punks metían protestas usos creativos absurdo sinsentido
159,Finalmente luego reordenar detalles contexto establecen Alternativa Naranja comenzó trayectoria pintando enanos pintura usaba gobierno censurar grafitis
160,Los enanos multiplicados ciudad haciendo mitosis convirtieron muy pronto símbolos disidencia polaca cobraron vida centenares personas disfrazadas pitufos naranjas empezaron manifestarse Por calles exigiendo cosas dimisión Gárgamel Mediante uso alegoría metáfora diciendo decir lograron llevar cabo decenas 2 protestas correr riesgo ser detenidos menos ser detenidos autoridades régimen convirtiesen automáticamente hazmerreír ¿o acaso puede seguir tratando respeto oficial policía tras ver detiene manifestante participar reunión ilegal pitufos
161,Al terminar historia Jefe entiende obvio Trilci entendido
162,Alfred extraña amigo O único tan loco retorna conversación original evadiendo desvíos quiere cosa amigos necesitan entenderse
163,Alfred broder are you getting high too often
164,El Jefe pocos amigos Alfred vez habla inglés
165,Nossa rieron coro Trilci Alice
166,Well yes but only because it helps with the voices
167,Also the drugs are not the problem
168,Its the drinking that is not good for
169,Y mientras dice baja pedazo yuca encebollada shot ron hablando ¡troglodita boca llena
170,Sabio siempre Jefe cambia tema cambiarlo bien yendo punto
171,¿Ustedes acuerdan manual escribió O instrucciones meticulosas Cómo evad sobriedad vivir contarlo
172,Todos ríen golpe Alice recuerda muy despistado O escrito manual instrucciones divertirse envió email lista amigos vez enviárselo Chilena equivocó envió Decana Chilena jefa buscando cualquier excusa echarlo universidad
173,Alfred mea risa recuerda muchas veces O enviaba emails destinatario equivocado 26 Como si inconsciente agenda secreta ejemplo caso quería O echaran
174,Y así tela hospitalaria teje amigos cuentan historias ausentes Alfred có- modo
175,Saca grabadora vieja casete pide Jefe oscuridad socializada bar ayude organizar pensamientos
176,Alice Trilci siguen hablando O problema comedores familia Alice Brasil noticias hace meses ... fin clasifica ordena realidad pesar tumultos
177,El Jefe pasa contar historia grupo Ecuador organizando través algoritmo
178,Tienen suerte economía dinero basada recursos dirigida computadora calcula prioridades habitantes
179,Pasan encuestas cada dos días
180,El algoritmo evalúa encuestas ajusta prioridades recursos trabajos
181,Cuenta Jefe día algoritmo aprobó dos proyectos extraños
182,El primero absurdo requería dispusieran recursos mínimos seiscientos años miembros derecho opción morir entrando hoyo negro
183,El segundo proyecto realizable aún descabellado construcción permanente catedral E algoritmo llegó conclusiones evaluando información cada miembros subía encuestas través software
184,Se dio cuenta ue fascinación muy fuerte hoyos negros comunidad
185,Que hoyos negros tragan materia luz tiempo tragan atraen interés humanos
186,La computadora través softwares detectado inequívoco deseo religioso constituyentes mayoría autodescritos ateos
187,El deseo mismo 24 expectativa muerte hoyo negro da unidad cohesión grupo
188,La idea proviene física
189,Siguiendo teorías Lenard Siskind proponentes teoría cuerdas si entra hoyo negro voltea vista hacia afuera apenas instante ser despedazado destruido potencia gravitacional vista única increíble universo
190,Adentro hoyo negro leyes físicas rompen
191,Ni luz tiempo pueden escapar
192,La fábrica misma espacio-tiempo convierte cosa arquitectura mental intuimos universo quántum átomos
193,Al voltear vista instante muerte instante podría ser eterno veríamos galaxia tiempo espacio totalidad universo pasado futuro comprimido mismo cuadro Aleph
194,El algoritmo piensa/sabe
195,La máquina utiliza conocimiento física acceso constituyentes ofrecer experiencia mística do- cumentada valor ateo ciencia
196,Fue Chilena contó grupo
197,Ella lleva meses fascinada hoyos negros Juegos escala universo
198,Devora documentales física parecen alucinantes ciencia ficción
199,Se convertido junkie Alfred buscar documentales noticias hoyos negros así dio grupo
200,Es bobería
201,Pero Interesante une grupo algoritmo hecho muy efectivo administrando recursos grupo sino une fascinación sueño bobo algún día descendientes voltearán mirada seiscientos años verán soñando destiempo hoyo negro
202,Álice Trilci entran salen conversación 25 amigos
203,Escuchan algoritmo Ecuador piensan querido Chilena allí momento
204,Seguro contado historia mejor Jefe entusiasmo menos burla mejores blunts aunque hace Chilena porros
205,Pensaríamos muerte nacimiento ángel anticiparíamos si sucediera seiscientos años muerto voluntario ofrece morir hoyo negro mirando/nos mirando ahora mismo seríamos/somos pasado compa '' deceríalcompadece lágrima Nunca terminaría/termina caer ojos
206,Alfred hace desinteresado
207,Alice ríe
208,Trilci pone cara niña enamorada cuenta Jefe ausenta pensamiento hacemos
209,Alice pregunta Trilci reciente fascinación Chilena física Trilci explica circunstancias precisas llevaron ser ¡unkie documentales teoría cuántica astrofísica público general
210,Que documentales ayudan depresión terapia hacen sentir chiquita problemas parecen bobos comparados problemas galaxias
211,¿Y dónde viene pendejada catedrales pregunta Álice Jefe Pues sé
212,Supongo idealización hacen anarquistas catedrales medievales
213,El Jefe siempre habla si mundo obviamente detalles tradición anarquista
214,Alice aprecia
215,Que Jefe pendejada explicativa sencillo cosas cualquiera puede entender
216,Y empieza contar catedrales Alfred interrumpe pedirle encendedor pipa
217,26 No
218,Te paso fósforos
219,Alfred piensa palabra fósforos graciosa
220,El Jefe cuenta libro leyó Georges Duby catedrales medievales
221,La idea catedral cristal dice Jefe vitrales diseño sugerían trabajo terminaba seguir añadiendo niveles catedral forma caja herramientas nunca termina Jefe sigue sigue abstracciones medievales sumergen arquitecturas mentales desconocidas
222,Alice fanática temas medievales continúa buen rato
223,Trilci mira ojos dice inventado soneto mejor Shakespeare dice Alice escribiendo sonetos escondidas Alfred
224,Sólo Trilci refina sonetos Alice
225,Alfred aprovecha buena oportunidad desentiende Trilci Alice toma bolígrafo dibuja símbolo átomo muestra Jefe
226,¿Qué podría ser Jefe
227,Un átomo ¿no
228,Obvio ¿qué
229,¡Baf pues podría ser muchas cosas
230,¿Adónde quieres llegar Alfred
231,Pues podría ser vitral catedral vitral templo bomba nuclear dos boxeadores cuadrilátero boxeo beso movimiento coser hojuela nieve hojuela maíz diamante ... 27 Alfred sigue enumerando Coño si podría ser cualquier cosa pista baile jamón Scooby-Doo huyendo fantasma versión medieval símbolo anarquismo A O hombre mujer Da Vinci mariposa monarca puede ser quiera manera
232,Una excusa ver quiera ver
233,¿Cómo supone entienda dicen pitufos si Imágenes refieren
234,Alfred frustra ladra
235,El Jefe sabe hacer consolarlo
236,Sabe dolor Alfred trata puede ver
237,En mismo momento si necesitara esfuerzo Jefe ¡y necesita
238,ver verdad locura compañero Alice compadece desesperación Alfred
239,Sabe hecho mundo avecina Jefe sabe Trilci cambio piensa/sabe Alfred sabe
240,Alice pasa mano espalda simplemente dice normal respire hondo cu coja suave puede ver claramente delira viendo fracrales viendo fractales días mundo muestra fractales muta costuras metamorfosea reinventa
241,Alfred detiene grabadora segundos tarde llega apagón
242,Y cualquiera piensa/sabe sólo muta provee continuidades
243,Lo estático procede sucede
244,Lo estático artificio fantasía universo cambie último apagón apaga jangueo amigos tan jóvenes 3 hacerse cargo mundo heredado mañana trabajar
245,Alice Trilcinea quieren ir
246,Alfred tampoco 28 Jefe joven despide va caminando Manuel Fernández Juncos luego cruza Ponce León camino Río Piedras
247,Es marcha larga acompañan huestes caminantes velas linternas
248,Se hacen grupos conversación deshacen toman momentos largos ver estrellas empezado reaparecer San Juan desestrellada décadas hace par años descaminada tiempo
249,Huestes caminantes cuyos pasos ahogan sonido pocos carros sinvergiienzas
250,Huestes
251,El Jefe camina huestes jóvenes cuatro mañana Santurce Río Piedras época isla entra retardado previsible colapso huestes disfrutan caminata larga conversación
252,Los ojos Jefe llenan esperanza huestes
253,Una esperanza heredada contingente
254,Sabe hecho
255,Es arropa
256,Algo dado
257,Una membrana impone rebota
258,Ve iluminación pies caminan
259,No Puerto Rico juventud
260,Y vez mismo país cambiado
261,Mejorado manera
262,Áunque sabe gente empieza morir muere murió caminan siempre sabido muertos caminan
263,Nosotras sabemos fantasmas peripatéticos
264,Dos semanas después durante huelga maestros toma dimensiones nacionales apoyo popular comedores escolares ocupados Poquitos policías atemorizados disparan multitud El Jefe corre cargar cuerpos lacerados recibe bala espalda
265,Muere unas horas después rodeado desconocidos embargo aman
266,En momento aman espinazo entraña último hálito ángel amantes anónimos 29 amar luna sol amar libro buena cena aman cuerpo muere acompañándolos
267,Alice Trilci Alfred avergonzados haberlo acompañado haber valentía Jefe creer mundo nuevo destruidos confirman desastrosa realidad vida amigos mueren
268,30
269,2/ El año 2017 En primera pelea campeonato mundial Cristi Martínez boxeadora Bayamón todavía aprendiz bruja
270,Con cada ¡ab embargo acerca consagración
271,Sus jabs conjura
272,Sus ganchos encantamiento
273,Cristina suelta recta derecha dice straight
274,Lanza gancho izquierda grita hook
275,Luego upper
276,Christina dice cosas suceden
277,Baila ring
278,Jab jab straight hook voltea dos
279,Y palabras determinan mundo físico
280,Cuando respira hondo piensa
281,hace fuerte absorbe pedazos ángel
282,El ángel aire
283,Abracadabra
284,Es año 1994 público ahí ver peleas Tito Trinidad Mike Tyson sabían gladiadora femenina
285,Upper
286,A sale disparada boquilla oponente
287,Entrenaba escuchando reggaetón Ivy Queen favorita salsa gorda decía ritmo añadía ángel
288,Era obsesiva meticulosa desconocía privilegios superstición santera
289,Ahora pelea campeonato parece todavía boxeando ritmo reggaetón clave dembow
290,La pierna izquierda mueve
291,Es columna apoyada dedo gordo pie
292,Recibe jab Oponente corta labio llena pecho sangre La 31 pierna derecha embargo rota eje pierna
293,Rota ángel vuelve funcionar
294,Y baila
295,Baila oponente
296,La clave siempre sido anticipación mejor manera anticipar movimiento oponente bailando
297,Pero ahora .. El ángel adquirido conexión extraña cómo
298,Podría anticiparse movimientos oponente
299,Pero ángel dice
300,Que
301,Que prisa
302,Que baile
303,Que miedo tomar golpe parte magia
304,El público después pide sangre
305,Siente acaba entender
306,Sabe viene doble ¡ab izquierda
307,No sabe detrás doble ¡ab viene volea derecha
308,No sabe intuye
309,Debería agachar cabeza practicado niña moviendo cabeza debajo soga hace El ángel dice
310,Recibe dos ¡abs nariz justo viene derecha volada entiende
311,Entiende magia ángel dijo moviera
312,Todo mueve lento
313,Todo retarda
314,Pero
315,¿Su velocidad
316,Rápida
317,Suelta upper izquierda pensarlo
318,Apenas golpea oponente
319,Recibe volea derecha oponente amortigua hombro izquierdo
320,Ahora oponente débil
321,Debilísima expone quijada encima cabeza Cristina entonces suelta propia volea derecha
322,Lenta
323,Cada músculo ttensado Lenta
324,Y quisiera detenerlo allí
325,Su cuerpo posicionado debajo quijada enemiga así agachada volea derecha Cristina vuela encima propia cabeza misil pre-direccionado quijada oponente
326,Ha usado golpe enemiga ubicarse abajo
327,Algo ningún entrenador jamás enseñó
328,Cuando 32 cima deporte juega reglas
329,Cristi Martínez percibe propia alegría puño improvisado volea encima cabeza viene conjurada magia contraintuitiva llega frente siempre vulnerable oponente ángel invencible
330,Y vida bien mal acaban puño nunca practicó
331,Ya aprendiz bruja
332,Es campeona mundial
333,Las luces cámaras disparan contratiempo gritos público oh público sabía pelea Tito Trinidad pelearían dos mujeres campeonato mundial ruge clama reconoce gloria mujer vestida rosa llena sangre
334,La promotora Tyson Tito hace buen contrato junto entrenador/esposo comienzan venderla entrevistas revistas deportes atleta femenina sexy mundo
335,La obligan hacer comentarios homofóbicos oponentes
336,Y esposo siempre amenaza
337,Te voy matar si cojo chingando mujer
338,El ángel embargo consume esfuerzos agota cuerpo
339,Á 29 años Cristi Martínez estátoda hecha ángel
340,Lo respira hace
341,Hasta lesión ligamento rodilla aleja ángel
342,No completamente
343,Todavía inteligente
344,Sabe cortar cuadrilátero
345,Ha dominado arte hacer menos
346,Sus rectas tan pesadas
347,Su ¡ab lento
348,Sus piernas bailan
349,Pero ahora certera
350,Trabaja ángulos
351,No pierde ángel
352,Lo reformula
353,Cuando atleta intuye final justo cuerpo reviente rejuvenecimiento magía liviana instante realidad pesada imponga cuerpo doliente 33 siempre
354,Estudia deporte
355,Ya campeona mundial
356,Pero modesta fanaticada freaks boxeo disfrutan conocimiento menosprecian género
357,Piensa amor llevado estudiar deporte erosionará tan rápido rodilla
358,Y ser muy duro dedicarse deporte brutal mundo machista reconoce ninguna gloria mujeres boxeadoras
359,El niño comienza entrenar gimnasio Puerto Rico sueña día tener gloria dinero Wilfredo Gómez Miguel Cotto si bien chances alcanzar gloria minúsculas azarosas
360,A niñas comenzaban boxear sólo negado tener heroína gloria popular ninguna sino además lidiar estigma social ser mujer peleadora casi tan denigrante país ser puta
361,Cristi Martínez aprendió temprano inventarte ángel
362,¡Cancelar miradas encontrarte cada vez subes cuadrilátero ángel boxeo valida esfuerzos
363,Recuerda vez así adolescente Bayamón novia jugaba básquet meses gimnasio boxeo solo día día novia Estados Unidos sintió tan sola ... Volvió gimnasio corriendo buscar ál ángel redoblar esfuerzos años después entrenador propuso matrimonio aceptó pensarlo así podía vivir boxeo veinticuatro horas día quería distrajera u ángel quería dar próximas niñitas llegaran confundidas refugio mundo gimnasio boxeo nunca esperanza gloria
364,34 A 32 años Cristi Martínez comienza irrevocablemente perder magia
365,El infierno hogar hace evidente brutal llena odio misma Cángel abandona
366,Ya quiere pelear
367,El cuadrilátero iuy cruel boxeadores voluntad ahí
368,Recibe palizas
369,Y emborracha
370,En prensa mismos celebraron gloria inusitada ahora utilizan contraejemplo progres evidencia bestialidad deporte inhumano conservadores acusan lesbiana prueba boxeo debe ser sólo hombres
371,Se hace adicta perico tres años hueler
372,Pero todas historias aun tristes contienen renacimientos
373,Son años surge Facebook €s Facebook reconecta aquella noviecita equipo básquet escuela
374,Encuentra luz ver ángel boxeo
375,Vuelve tener ganas hacer cosas
376,En conversaciones secretas celular chats Facebook escapadas espaldas marido tomarse café cuerpo comienza sanar
377,Duerme mejor
378,Sus coyunturas sanan
379,Sus ligamentos vuelven crecer
380,El dolor tolerable
381,Hasta día finge lesión quiere entrenar
382,Sin ángel casi dinero dice esposo va ir Centro rehabilitación drogas República Dominicana
383,Y fuga tres semanas paz primeras tres semanas paz toda vida tres semanas experimenta primera Vez » intensidad engranaje amor mecánica muerte
384,A vuelta Puerto Rico decide abandonar esposo
385,Ya mundo cambiado
386,Un tantito
387,Lo suficiente 35 tenerle miedo clóset
388,Comienza recoger cosas después darle noticia esposo/entrenador dice va habitación vuelve cuchillo mano
389,Cristi lista pelear logra romperle nariz recibe tres puñaladas costado cuales llega pulmón
390,En piso desangrándose patea grita
391,Pata asquerosa dije iba matar
392,Y busca pistola da tiro espalda deja muerta mete ducha limpiarse sangre
393,Ella entonces arrastra puerta luego calle tumba allí esperar pase carro compasión ayude durante tiempo repite nombre si salvar evocarla
394,Y pasa carro ve llena sangre muriéndose detiene
395,El rostro aparece
396,Sólo aparece ángel
397,Y pasa carro detenersesEl maldito ángel aquella noche gloriosa dejó ser aprendiz bruja
398,Y pasa carro detenerse
399,Esa noche bailaba oponente ritmo Ivy Queen podía anticipar movimientos noche toda hecha ángel respiraba
400,Y carros mundo pasan detienen tarde año 2017
401,Su muerte sido mayormente ignorada prensa
402,Esta mañana embargo abro periódico alguna razón ocurre mirar obituarios encuentro lee
403,Ayer rodeada silencios laureada fantasmas murió Cristina El Demonio Rosita Martínez grande campeona mundial boxeo Puerto Rico
404,Tu familia 36 recuerda familia pueblo hace homenaje pueblo
405,Sólo Ella recordamos Tu Ángel A.M. Y leí obituario puedo quitarme mente hecho Iniciales A.M. corresponden Alice Mar
406,Durante meses siguieron muerte Cristina Martínez encontrado obituarios firmados A.M.
407,Primero obituarios tan sólo boxeadores Héctor El Macho Camacho Edwin El Inca Valero Arturo Gatti Vernon Forest
408,Pero después convirtieron obituarios terroristas olvidados finalmente expandieron víctimas muertes violentas negros latinos asesinados policía norteamericana cuarenta tres obituarios normalistas Ayotzinapa largo hermoso obituario María Elena Lulú Fernández directora coro Universidad Puerto Rico asesinada machetazo cabeza nieto crackero
409,Todos firmados Ty Ángel A.M.
410,Alice nunca admitía negaba autora
411,Alice amantes azar luego destino lectores lejanos cuentos
412,Ella debajo abanico aspas edificio medio restaurado Villa Madalena Sao Paulo apartamento gitano New York luego Carolina Norte luego Buenos Aires luego Hartford ahora montañas Colorado
413,Y entonces reconocimos encuentro
414,Hoy sigo creyendo une necesidad prolongar cuentos siempre pendiente conversaciones cubren tramo acera cualquier ciudad
415,De mera 37 mención palabra cuéntame emerge amor alejamientos fundamentado palabra recovecos prepara terreno ina continuidad ininterrumpida improbable deseo seguridad cuentos continúan siempre sincronía ley preservación información universo mediante sucede aun pensamientos deja indicios existencia realidad siempre
416,Es necesario aclarar siguiente Alice sólo existe cabeza
417,Empezó hablarme mientras escribía primera novela
418,Nos contábamos historias mientras conducía
419,Luego quitaron licencia conducir tras accidente empezamos contarnos historias mientras caminaba mientras esperaba algún dealer siempre hacen esperar mientras hacía fila correo sitios
420,Me contaba historias luego contaba amigos sé cuándo empecé revelar autoría cuentos contaba Alice
421,Les decía amigos Álice contado tal cosa
422,Ellos piadosos divertidos pronto acostumbraron existencia Alice siempre podían identificar cuándo historia siempre supimos vivía extensión imaginación simplemente terapia modo mantener cordura
423,Entonces llegan obituarios firmados A.M. Alice Mar ángel mañana pronto sospecho terapia Alice empezó manera mantener cordura tal vez ¡me manos
424,38 El Profesor O vive montañas Colorado
425,Vive escritorio
426,Suplemento túnel constante constantes cambios domicilio
427,En redes virtuales redescubre plaza pública tira cabeza hoyo cibernético
428,Hace amistades años canje noticias lecturas momentos confesión mundo pasa intercambios información conocimientos intercambios emotivos
429,Á saciar necesidad afecto gente parece diferente
430,Amigos entrañables nunca visto conoce alma sabe cómo abrazarlos
431,Por supuesto amigos físicos rutas igualmente nómadas red virtual suplementos tecnológicos cada vez perspicaces sirven comunicarse verlos encontrarlos arbitrariamente foro virtual
432,Al principio necesidad instrumento continuar amistad Skype Facebook e-mail etcétera
433,Con años amistades dejan intensificarse demasiado atadas medio virtual naturaliza
